Name,App.,Minutes,Shots,Shots on Target,Shots in Box,Shots Outside Box,Headed Attempts,Big Chance,Big Chance Created,Goals,Goals inside Box,Goals outside Box,Headed Goal,Goal Involvement,Key Pass,Big Chance Created.1,Assists,Crosses (Tot.),Crosses (Succ.),Crosses Succ. %,Exp. Goals (xG),Non Penalty xG (NPxG),Exp. Assists (xA),Exp. Att. Points (xATT),Exp. Points (xPts),Exp. Involvement (xGI),Cost (£M),Points_x,Bonus Points,Baseline BPS,BPS,Threat,Creativity,Influence,Total Passes,Accurate Passes,Pass Completion (%),Opp. Half Passes,Opp. Half Accurate,Opp. Half Pass %,Final 3rd Passes,Final 3rd Accurate,Final 3rd Pass %,Throughballs (Tot.),Throughballs (Succ.),Touches (All),Touches (Box),Entries (Box),Fouls Won (Final 3rd),Penalty Box Entries,Fouls Won (Box),Fouls Made,Corners Taken,Set Piece Into Box,Freekicks (Indirect),Freekicks Taken,Freekicks (Accurate),Freekicks (Direct),Freekick Scored,Penalties Taken,Penalties Scored,Penalties Missed,Clean Sheets,Goals Conceded,Exp. Clean Sheets,Expected Goals Conceded,Shots Conceded,Shots In Box Conceded,Shots on Target Conceded,Headed Shots Conceded,Shots Conc. Set Pieces,Big Chances Conceded,Tackles (Tot.),Tackles (Won),Tackles Won (%),Recoveries,Clearances,Blocks,Interceptions,CBI,Shots Conc. Set Pieces.1,Wins,Saves,Yellow Cards,Second Yellows,Red Cards,Offsides,Errors (lead to Goal),Errors (lead to Shot),Own Goals,Names,Position,Team,Points_y
Cech (G)ARS,3,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4.14,0,4.7,3.0,0.0,22.33,22.33,0.0,0.0,42.6,34.0,25.33,75,7.67,2.67,35,2.33,0.33,14,0.0,0.0,47.33,0.0,2.33,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,5.45,18.0,8.67,8.0,1.0,0.67,1.33,0.0,0.0,0,9.33,0.67,0.0,0.0,0.67,0.67,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cech ,G,6,4.67
Begović (G)EVE,3,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.92,0,4,3.33,0.0,9.67,13.67,0.0,0.0,11.87,21.0,13.0,62,10.67,3.33,31,3.67,1.0,27,0.0,0.0,27.0,0.0,3.67,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,,2.81,10.67,6.33,3.0,1.67,0.67,0.67,0.0,0.0,0,5.33,0.33,0.0,0.0,0.33,0.67,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Begović ,G,10,1.33
Ryan (G)BHA,3,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.43,0,4.5,2.33,0.0,15.0,15.0,0.0,0.0,25.8,25.33,9.0,36,20.33,6.0,30,6.67,1.33,20,0.0,0.0,32.33,0.0,6.67,0.0,0.33,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,,5.08,16.67,11.33,5.33,2.33,1.0,1.67,0.0,0.0,0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ryan ,G,13,1.67
Hart (G)TOT,3,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.66,0,4.5,3.67,0.0,18.33,22.33,0.0,0.0,31.8,31.33,15.67,50,25.0,11.33,45,11.67,4.67,40,0.0,0.0,42.67,0.0,11.67,0.0,0.33,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.33,,5.88,17.33,7.33,7.0,3.0,0.0,2.33,0.0,0.0,0,10.0,0.33,0.0,0.0,0.33,0.0,0.0,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hart ,G,5,7.33
Etheridge (G)CAR,3,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.76,0,4.6,9.33,1.0,15.0,33.0,0.0,0.0,38.53,29.33,9.33,32,27.33,8.0,29,14.0,2.67,19,0.0,0.0,36.0,0.0,14.0,0.0,0.67,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,,4.58,9.67,7.67,3.67,1.0,1.0,2.0,0.0,0.0,0,8.67,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Etheridge ,G,20,1.67
Arrizabalaga (G)CHE,3,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.97,0,4.5,3.33,0.0,12.33,16.33,0.0,0.0,14.67,28.33,20.67,73,6.0,2.33,39,0.0,0.0,0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,,3.42,9.0,5.0,3.0,1.33,0.67,2.0,0.0,0.0,0,6.0,0.33,0.0,0.0,0.33,0.67,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arrizabalaga ,G,3,4.67
Hennessey (G)BUR,3,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.93,0,4.5,4.33,0.33,17.67,21.67,0.0,0.0,31.93,26.0,12.67,49,20.33,8.0,39,10.33,2.67,26,0.0,0.0,37.33,0.0,10.33,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.33,,5.29,14.67,7.67,5.67,2.0,0.67,2.0,0.0,0.0,0,10.0,1.0,0.0,0.0,1.0,0.67,0.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hennessey ,G,15,7.33
Pickford (G)EVE,3,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.07,0,4.8,2.0,0.0,14.67,14.67,0.0,0.0,20.87,34.33,14.33,42,23.67,6.0,25,11.33,2.33,21,0.0,0.0,43.33,0.0,11.33,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,,5.4,14.33,8.0,4.33,2.67,1.0,3.0,0.0,0.0,0,9.0,1.67,0.0,0.0,1.67,1.0,0.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pickford ,G,10,2.0
Foster (G)WAT,3,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.33,0.0,0.0,0.0,0.0,0,0,0.0,0.01,0.03,4.42,1,4.2,3.33,0.0,12.0,16.0,0.0,3.33,13.67,33.0,13.33,40,26.67,9.0,34,9.0,2.67,30,0.0,0.0,40.67,0.0,9.0,0.0,0.33,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,,1.91,7.67,6.0,2.0,2.67,0.67,0.67,0.0,0.0,0,10.0,0.67,0.0,0.33,1.0,0.67,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Foster ,G,17,2.0
Fabianski (G)WHU,3,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.55,0,5,2.67,0.33,20.0,20.0,0.0,0.0,38.33,23.33,10.33,44,19.0,6.67,35,4.67,0.67,14,0.0,0.0,37.67,0.0,4.67,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,7.26,15.67,10.0,7.67,2.33,1.0,3.33,0.0,0.0,0,10.33,1.33,0.0,0.0,1.33,1.0,0.0,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fabianski ,G,9,5.67
