Name,Price,Appearances,Minutes,%%xGI,%%GI,xGI,Goal Involvement,Shots,On Target,Shots in Box,Shots Outside Box,Big Chances,Headed Shots,NPxG,Expected Goals,Goals,Goals In Box,Goals from Outside Box,Headed Goals,Final 3rd Passes,Final 3rd Successesful Passes,%% Final 3rd Successful,Total Crosses,Successful Crosses,%% Successful Crosses,Total Corners,Total Indirect FK,Key Passes,Big Chances Created,Expected Assists,Assists,Saves,Yellow Card,Red Card,Cleansheet,Threat,Creativity,Influence,xAtt,Expected Points,bBPS,BPS,Bonus Points,Points,Goals Conceded,Total Tackles,Tackles Won,%% Accurate Tackles,Recovery,Clearances,Blocks,Interceptions,CBI,Shots Conceded,Shots Conceded In Box,Shots Conceded OT,SP,Headed Shots Conceded,BC Conceded,xGC,Total Passes,Successful Passes,%% Successful Passes,Opposition Half Passes,Successful Opposition Half Passes,%% Successful Opposition Half Passes,Remove1,Remove2,Remove3,Total Throughballs,Accurate Throughballs,Remove4,Remove5,Remove6,Remove7,Total Touches,Touches in Box,Entries into Final 3rd,Entries into Box,Fouled in Final 3rd,Fouled in Box,Corners into Box,Accurate Indirect FK,Total Direct FK,Goals Direct FK,Total Penalties,Penalty Goals,3GW
Son (M) TOT,10.20,12.00,55.25,0.20,0.26,0.40,6.00,2.08,0.83,1.42,0.67,0.33,0.00,0.25,0.25,0.25,0.17,0.08,0.00,8.50,6.75,79.00,0.92,0.33,36.00,0.42,0.17,0.75,0.08,0.11,0.25,0.00,0.00,0.00,0.42,26.75,12.56,17.15,1.60,3.90,6.50,13.25,0.33,4.33,0.42,1.25,0.75,60.00,3.33,0.08,0.08,0.17,0.33,12.67,7.67,4.67,1.25,2.08,1.83,1.49,19.67,16.33,83.00,15.67,12.42,79.00,8.50,6.75,79.00,0.17,0.08,7.00,5.00,7.00,1.08,32.50,3.67,0.67,1.33,0.33,0.08,0.33,0.08,0.08,0.00,0.00,0.00,13.00
Son (M) TOT,10.20,10.00,57.40,0.18,0.20,0.40,4.00,2.00,0.90,1.50,0.50,0.40,0.00,0.28,0.28,0.20,0.20,0.00,0.00,9.30,7.50,81.00,0.30,0.10,33.00,0.10,0.00,0.70,0.00,0.08,0.20,0.00,0.00,0.00,0.40,27.90,11.36,14.84,1.70,4.00,6.40,11.80,0.10,3.70,0.50,1.20,0.80,67.00,3.50,0.10,0.10,0.20,0.40,13.70,8.60,5.30,1.20,2.40,2.00,1.66,20.60,17.30,84.00,15.60,12.80,82.00,9.30,7.50,81.00,0.20,0.10,6.00,4.00,6.00,1.10,33.30,3.80,0.70,1.10,0.30,0.10,0.00,0.00,0.00,0.00,0.00,0.00,12.00
Son (M) TOT,10.20,11.00,58.91,0.21,0.27,0.40,6.00,2.18,0.91,1.45,0.73,0.36,0.00,0.27,0.27,0.27,0.18,0.09,0.00,9.09,7.36,81.00,1.00,0.36,36.00,0.45,0.18,0.82,0.09,0.12,0.27,0.00,0.00,0.00,0.45,28.18,13.68,18.71,1.80,4.10,7.09,14.45,0.36,4.64,0.45,1.36,0.82,60.00,3.55,0.09,0.09,0.18,0.36,13.45,8.09,5.09,1.27,2.18,1.91,1.59,21.09,17.64,84.00,16.73,13.36,80.00,9.09,7.36,81.00,0.18,0.09,7.00,4.00,7.00,1.09,34.64,3.73,0.73,1.45,0.36,0.09,0.36,0.09,0.09,0.00,0.00,0.00,11.67
Son (M) TOT,10.20,13.00,57.08,0.24,0.34,0.50,10.00,2.23,1.00,1.62,0.62,0.46,0.00,0.32,0.32,0.38,0.31,0.08,0.00,8.69,7.00,81.00,0.92,0.38,41.00,0.38,0.15,0.85,0.15,0.15,0.38,0.00,0.00,0.00,0.38,30.62,13.70,22.86,2.10,4.40,7.31,17.69,0.54,5.62,0.54,1.15,0.69,60.00,3.38,0.08,0.08,0.23,0.38,12.46,7.54,4.54,1.15,2.00,1.77,1.44,20.62,17.15,83.00,16.31,13.00,80.00,8.69,7.00,81.00,0.15,0.08,8.00,5.00,8.00,1.08,33.54,4.00,0.62,1.31,0.38,0.08,0.31,0.08,0.08,0.00,0.00,0.00,10.33
Son (M) TOT,10.20,9.00,77.78,0.40,0.58,0.50,7.00,2.67,1.00,1.78,0.89,0.22,0.22,0.26,0.26,0.22,0.22,0.00,0.00,14.44,12.56,87.00,0.89,0.11,12.00,0.11,0.00,1.33,0.22,0.21,0.56,0.00,0.00,0.11,0.11,36.11,18.74,21.18,1.90,4.50,5.78,13.78,0.33,4.78,1.33,1.00,0.56,56.00,3.00,0.78,0.00,0.33,1.11,14.11,9.11,6.00,0.78,2.33,1.44,1.60,26.56,22.67,85.00,22.00,18.56,84.00,14.44,12.56,87.00,0.22,0.22,8.00,1.00,3.00,2.00,45.56,7.00,1.22,1.89,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.00,10.33
Son (M) TOT,10.20,18.00,82.17,0.46,0.52,0.60,14.00,2.78,1.11,1.94,0.83,0.33,0.11,0.31,0.31,0.28,0.28,0.00,0.00,12.56,10.94,87.00,1.50,0.44,29.00,0.44,0.17,1.56,0.50,0.32,0.50,0.00,0.00,0.11,0.17,36.39,22.11,24.88,2.50,5.20,8.89,17.39,0.56,5.22,1.22,0.89,0.56,63.00,4.11,0.44,0.00,0.33,0.78,13.94,9.06,5.17,0.78,2.11,1.33,1.47,25.83,22.22,86.00,21.17,17.61,83.00,12.56,10.94,87.00,0.22,0.22,17.00,1.00,5.00,2.72,44.78,6.06,1.67,1.94,0.22,0.06,0.33,0.06,0.00,0.00,0.00,0.00,9.33
Son (M) TOT,10.20,8.00,50.62,0.14,0.13,0.30,2.00,1.75,0.50,1.25,0.50,0.38,0.00,0.21,0.21,0.12,0.12,0.00,0.00,9.12,7.38,81.00,0.25,0.12,48.00,0.12,0.00,0.62,0.00,0.07,0.12,0.00,0.00,0.00,0.50,22.25,10.46,11.50,1.30,3.50,5.88,9.25,0.00,3.00,0.00,1.25,0.88,70.00,3.25,0.00,0.12,0.25,0.38,12.12,7.50,5.12,1.12,2.00,1.75,1.52,19.75,16.75,85.00,15.38,12.75,83.00,9.12,7.38,81.00,0.25,0.12,4.00,4.00,5.00,1.12,31.50,3.75,0.62,1.25,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00
Son (M) TOT,10.20,10.00,82.10,0.41,0.52,0.80,11.00,2.00,1.20,1.30,0.70,1.00,0.10,0.51,0.51,0.90,0.80,0.10,0.10,11.70,9.40,80.00,3.80,1.20,32.00,2.30,0.60,1.80,0.30,0.25,0.20,0.00,0.00,0.00,0.50,36.70,26.54,40.96,3.30,6.10,10.50,28.50,1.20,8.70,0.50,0.50,0.40,80.00,3.70,0.10,0.20,0.30,0.60,11.90,7.40,3.40,1.50,1.90,1.20,1.17,27.50,22.90,83.00,24.60,18.60,76.00,11.70,9.40,80.00,0.00,0.00,10.00,0.00,6.00,0.80,42.30,3.60,1.80,4.40,0.50,0.00,2.10,0.10,0.00,0.00,0.00,0.00,9.00
Son (M) TOT,10.20,17.00,63.88,0.27,0.39,0.50,15.00,2.35,1.06,1.47,0.88,0.47,0.00,0.33,0.33,0.47,0.35,0.12,0.00,10.35,8.35,81.00,0.94,0.35,37.00,0.29,0.12,1.06,0.18,0.17,0.41,0.00,0.06,0.00,0.41,31.88,16.42,26.82,2.20,4.60,7.24,19.41,0.59,6.24,0.65,1.00,0.53,53.00,3.29,0.12,0.06,0.29,0.47,12.06,7.65,4.59,0.94,2.12,1.65,1.40,24.12,20.47,85.00,18.82,15.24,81.00,10.35,8.35,81.00,0.18,0.12,12.00,5.00,10.00,1.12,37.12,4.06,1.06,1.24,0.29,0.06,0.24,0.06,0.06,0.00,0.00,0.00,8.67
Son (M) TOT,10.20,8.00,80.25,0.41,0.53,0.90,10.00,2.25,1.38,1.62,0.62,1.12,0.12,0.58,0.58,1.00,1.00,0.00,0.12,12.38,9.75,79.00,4.12,1.25,30.00,2.62,0.50,2.25,0.38,0.31,0.25,0.00,0.00,0.00,0.38,43.25,31.31,45.78,3.80,6.60,10.25,30.50,1.25,9.25,0.62,0.62,0.50,81.00,3.25,0.12,0.12,0.38,0.62,10.50,6.25,3.25,1.38,1.75,1.25,1.14,27.50,22.62,82.00,25.50,19.00,75.00,12.38,9.75,79.00,0.00,0.00,8.00,0.00,5.00,0.62,42.62,4.12,1.88,4.62,0.62,0.00,2.38,0.00,0.00,0.00,0.00,0.00,8.67
Son (M) TOT,10.20,10.00,79.00,0.45,0.62,0.60,8.00,3.10,1.20,2.00,1.10,0.40,0.20,0.35,0.35,0.30,0.30,0.00,0.00,14.90,12.90,87.00,1.00,0.20,20.00,0.30,0.00,1.40,0.20,0.21,0.50,0.00,0.00,0.10,0.10,39.90,19.82,23.38,2.40,5.00,5.60,14.60,0.40,5.10,1.30,0.90,0.50,56.00,3.10,0.70,0.00,0.30,1.00,14.10,9.00,5.80,0.80,2.10,1.40,1.54,26.70,22.90,86.00,22.30,18.80,84.00,14.90,12.90,87.00,0.20,0.20,9.00,1.00,3.00,2.30,46.40,7.00,1.20,2.00,0.20,0.10,0.20,0.00,0.00,0.00,0.00,0.00,8.33
Son (M) TOT,10.20,11.00,80.00,0.47,0.62,0.60,10.00,3.09,1.27,1.91,1.18,0.45,0.18,0.37,0.37,0.36,0.36,0.00,0.00,14.18,12.36,87.00,1.18,0.27,23.00,0.36,0.00,1.55,0.36,0.27,0.55,0.00,0.00,0.09,0.09,39.36,21.38,27.02,2.70,5.30,6.45,17.09,0.64,5.82,1.36,1.00,0.45,45.00,3.73,0.64,0.00,0.27,0.91,13.82,8.91,5.64,0.82,2.27,1.27,1.47,26.55,22.82,86.00,22.00,18.45,84.00,14.18,12.36,87.00,0.18,0.18,10.00,1.00,3.00,2.18,46.09,6.55,1.18,2.09,0.27,0.09,0.27,0.00,0.00,0.00,0.00,0.00,8.00
Son (M) TOT,10.20,9.00,53.78,0.16,0.18,0.30,3.00,1.89,0.78,1.33,0.56,0.33,0.00,0.24,0.24,0.11,0.11,0.00,0.00,9.11,7.44,82.00,0.22,0.11,50.00,0.11,0.00,0.56,0.00,0.07,0.22,0.00,0.00,0.00,0.44,24.56,9.73,12.09,1.40,3.70,6.00,10.00,0.00,3.22,0.44,1.33,0.89,67.00,3.22,0.00,0.11,0.22,0.33,13.22,8.11,5.33,1.33,2.11,1.89,1.64,19.44,16.44,85.00,15.44,12.78,83.00,9.11,7.44,82.00,0.22,0.11,5.00,4.00,6.00,1.22,32.11,3.67,0.78,1.22,0.33,0.11,0.00,0.00,0.00,0.00,0.00,0.00,7.67
Son (M) TOT,10.20,8.00,77.62,0.38,0.55,0.50,6.00,2.88,1.12,2.00,0.88,0.25,0.25,0.29,0.29,0.25,0.25,0.00,0.00,15.25,13.25,87.00,1.00,0.12,12.00,0.12,0.00,1.38,0.12,0.18,0.50,0.00,0.00,0.00,0.12,39.12,19.49,22.25,2.00,4.60,6.00,15.00,0.38,5.12,1.38,1.12,0.62,55.00,3.25,0.88,0.00,0.38,1.25,15.00,9.50,6.38,0.88,2.25,1.38,1.65,28.25,24.00,85.00,23.50,19.75,84.00,15.25,13.25,87.00,0.25,0.25,7.00,1.00,3.00,2.12,48.25,7.62,1.00,2.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.00,7.67
Son (M) TOT,10.20,7.00,46.71,0.05,0.08,0.10,1.00,1.14,0.14,0.86,0.29,0.00,0.00,0.05,0.05,0.00,0.00,0.00,0.00,9.00,7.14,79.00,0.29,0.14,48.00,0.14,0.00,0.57,0.00,0.05,0.14,0.00,0.00,0.00,0.43,15.14,10.11,7.60,0.40,2.50,7.14,8.43,0.00,2.29,0.00,1.43,1.00,70.00,3.14,0.00,0.14,0.29,0.43,12.00,7.43,5.57,1.14,2.14,1.86,1.62,19.14,16.29,85.00,14.71,12.14,83.00,9.00,7.14,79.00,0.29,0.14,3.00,4.00,4.00,1.00,30.57,3.14,0.43,1.29,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00
