Name,Team Name,Price,Minutes,Appearances,Shots,On Target,Shots in Box,Big Chances,Expected Goals,Goals,%%xGI,%%GI,xGI,Goal Involvement,Key Passes,Big Chances Created,Expected Assists,Assists,Expected Points,BPS,Bonus Points,Points,Shots Outside Box,Headed Shots,NPxG,Goals In Box,Goals from Outside Box,Headed Goals,Final 3rd Passes,Final 3rd Successesful Passes,%% Final 3rd Successful,Total Crosses,Successful Crosses,%% Successful Crosses,Total Passes,Successful Passes,%% Successful Passes,Opposition Half Passes,Successful Opposition Half Passes,%% Successful Opposition Half Passes,Total Throughballs,Accurate Throughballs,Total Touches,Touches in Box,Entries into Final 3rd,Entries into Box,Fouled in Final 3rd,Fouled in Box,Total Corners,Corners into Box,Total Indirect FK,Accurate Indirect FK,Total Direct FK,Goals Direct FK,Total Penalties,Penalty Goals,Cleansheet,Goals Conceded,Total Tackles,Tackles Won,%% Accurate Tackles,Recovery,Clearances,Blocks,Interceptions,CBI,Shots Conceded,Shots Conceded In Box,Shots Conceded OT,SP,Headed Shots Conceded,BC Conceded,xGC,xCS,Saves,Yellow Card,Red Card,Threat,Creativity,Influence,xAtt,bBPS,aPts
Castagne (D),LEI,5.3,64,1 (0),1,1,0,0,0.14,1,0.1,0.5,0.2,5,0,0,0.02,0,2.96,32,2,14,1,0,0.14,0,1,0,8,8,100,1,0,0,27,25,93,14,13,93,0,0,46,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4,0,0,2,2,15,11,6,0,6,2,1.88,0.13,0,0,0,7,2.3,40.4,0.88,8,12
Matip (D),LIV,5,90,2 (0),1,0,1,0,0.03,0,0.14,0.25,0.3,3,0.5,0.5,0.24,0.5,4.74,30.5,2,9.5,0,1,0.03,0,0,0,9,6,67,0,0,0,47,38.5,82,23,17,74,0.5,0.5,59.5,1.5,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,2,6,1,0.5,7.5,8.5,3.5,2.5,0,0.5,1,0.78,0.42,0,0,0,13.5,7.7,29.4,0.86,14,7.5
Robertson (D),LIV,7.3,90,2 (0),1,0,0.5,0,0.02,0,0.14,0.25,0.3,3,1.5,0.5,0.26,0.5,4.74,31,1.5,9,0.5,0,0.02,0,0,0,12.5,7,56,5,1,20,65,50,77,38.5,26,68,0,0,91.5,2,6,4,0,0,1.5,2.5,1,0,0,0,0,0,1,0,3,1.5,50,8,2,0,2.5,4.5,8.5,3.5,2.5,0,0.5,1,0.78,0.42,0,0,0,9,21.95,25.5,0.88,14.5,7
Chalobah (D),CHE,4.7,90,1 (0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,34,3,9,0,0,0,0,0,0,7,7,100,1,0,0,67,54,81,28,24,86,0,0,90,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,5,5,100,5,5,0,0,5,7,5,2,3,2,0,0.37,0.68,0,0,0,0,2.6,23.6,0,22,7
Cancelo (D),MCI,6.9,90,1 (0),1,0,0,0,0.01,0,0.04,0,0.1,0,2,0,0.08,0,5.67,33,3,9,1,0,0.01,0,0,0,41,27,66,3,1,33,99,78,79,71,51,72,1,1,128,2,18,9,0,0,0,0,0,0,0,0,0,0,1,0,5,5,100,12,0,0,0,0,7,6,1,0,1,0,0.27,0.71,0,0,0,5,35,23,0.3,21,7
Sarr (D),CHE,4.9,78,1 (0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92,25,2,8,0,0,0,0,0,0,13,13,100,1,0,0,47,44,94,23,21,91,0,0,62,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,1,0,1,2,7,5,2,3,2,0,0.37,0.68,0,0,0,0,4,2.4,0,13,6
Kilman (D),WOL,4.6,90,1 (0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82,28,2,8,0,0,0,0,0,0,11,9,82,0,0,0,73,63,86,29,26,90,0,0,83,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,100,2,5,0,1,6,7,3,2,0,1,0,0.42,0.6,0,0,0,0,2.5,18.4,0,16,6
Coady (D),WOL,4.9,90,2 (0),1,0.5,0.5,0,0.09,0.5,0.09,0.33,0.1,3,0,0,0.03,0,3.21,25,1.5,7.5,0.5,0.5,0.09,0.5,0,0.5,3,1.5,50,0,0,0,55,51.5,94,9,7,78,0.5,0,62.5,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0.5,1.5,0,0,0,5,3.5,0.5,0.5,4.5,11,7,4,0.5,1,3,1.66,0.32,0,0.5,0,12.5,1.85,28.1,0.61,13,6
Stones (D),MCI,5.2,90,1 (0),1,0,0,0,0.02,0,0.03,0,0.1,0,1,0,0.05,0,5.57,28,1,7,1,0,0.02,0,0,0,17,16,94,0,0,0,112,106,95,53,50,94,0,0,120,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,2,1,2,5,7,6,1,0,1,0,0.27,0.71,0,0,0,8,14.6,19.4,0.25,16,5
van Dijk (D),LIV,6.8,90,2 (0),0.5,0.5,0.5,0,0.08,0,0.05,0,0.1,0,0,0,0.02,0,4.39,25,1,7,0,0.5,0.08,0,0,0,5,3,60,0,0,0,65.5,57.5,88,24,17.5,73,0,0,71,1.5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,4,3,0.5,0,3.5,8.5,3.5,2.5,0,0.5,1,0.78,0.42,0,0,0,10.5,0.85,17.4,0.58,13,5
