Name,Position,Team Name,Price,Predict
Sá ,G,WOL,5.3,12.93
Son ,M,TOT,10.9,10.21
Steer ,G,AVL,3.9,7.9
Raya ,G,BRE,4.3,7.83
Lössl ,G,BRE,4.5,7.58
McAteer ,M,LEI,4.5,7.46
Martínez ,G,AVL,5.5,6.98
Fernández ,G,BRE,4.5,6.94
Pépé ,M,ARS,6.9,6.79
Lloris ,G,TOT,5.4,6.54
Ramsdale ,G,ARS,5.1,6.15
McCarron ,M,LEE,4.4,6.03
Daka ,F,LEI,7.1,5.78
Iheanacho ,F,LEI,6.9,5.65
Antonio ,F,WHU,7.5,5.33
Fabianski ,G,WHU,5,5.27
Chiquinho ,M,WOL,5.5,5.2
Maddison ,M,LEI,6.7,5.11
Bowen ,M,WHU,6.8,5.01
Areola ,G,WHU,4.7,4.95
Fabio Silva ,F,WOL,5.6,4.94
Bamford ,F,LEE,7.7,4.91
McKinstry ,M,LEE,4.3,4.87
Schmeichel ,G,LEI,4.8,4.73
Saka ,M,ARS,6.6,4.73
Kane ,F,TOT,12.4,4.7
Cundle ,M,WOL,4.4,4.66
Gabriel ,D,ARS,5.3,4.64
Jiménez ,F,WOL,7.6,4.61
Trézéguet ,M,AVL,5.4,4.57
Kulusevski ,M,TOT,6.2,4.57
Ings ,F,AVL,7.7,4.55
Pereira ,D,LEI,5.2,4.51
Zouma ,D,WHU,5.4,4.49
Lacazette ,F,ARS,8.4,4.48
Raphinha ,M,LEE,6.5,4.48
Scarlett ,F,TOT,4.5,4.45
Saïss ,D,WOL,5,4.39
Nelson ,M,ARS,5,4.36
White ,D,ARS,4.5,4.27
Ait Nouri ,D,WOL,4.4,4.23
Cresswell ,D,WHU,5.4,4.2
Tierney ,D,ARS,5.1,4.19
Soucek ,M,WHU,5.7,4.19
Hwang ,F,WOL,5.4,4.18
Mings ,D,AVL,5,4.16
Kilman ,D,WOL,4.6,4.14
Boly ,D,WOL,4.9,4.13
Struijk ,D,LEE,4.3,4.12
Neto ,M,WOL,6.4,4.11
Pinnock ,D,BRE,4.5,4.1
Noble ,M,WHU,4.4,4.08
Meslier ,G,LEE,4.8,4.08
Buendía ,M,AVL,6.2,4.06
Digne ,D,AVL,5.1,4.04
Thomas ,D,LEI,4.3,4.03
Cédric ,D,ARS,4.2,4
Jonny ,D,WOL,4.5,4
Coady ,D,WOL,4.8,3.99
Justin ,D,LEI,4.9,3.98
Bailey ,M,AVL,6.3,3.97
Lo Celso ,M,TOT,5.9,3.96
Lookman ,M,LEI,6,3.96
Ødegaard ,M,ARS,5.5,3.95
Amartey ,D,LEI,3.9,3.92
Eriksen ,M,BRE,5.5,3.92
Dawson ,D,WHU,4.9,3.9
Benrahma ,M,WHU,5.9,3.9
Dier ,D,TOT,4.6,3.89
Firpo ,D,LEE,4.7,3.89
Ayling ,D,LEE,4.3,3.88
Ndidi ,M,LEI,4.8,3.87
Johnson ,D,WHU,3.9,3.84
Martinelli ,M,ARS,5.3,3.84
Sánchez ,D,TOT,4.5,3.82
Barnes ,M,LEI,6.5,3.82
Ndombele ,M,TOT,5.7,3.82
Toney ,F,BRE,6.6,3.82
Söyüncü ,D,LEI,4.9,3.81
Nørgaard ,M,BRE,5,3.8
Holding ,D,ARS,4.1,3.77
Bergwijn ,M,TOT,5.9,3.76
Gelhardt ,F,LEE,4.6,3.76
Bidstrup ,M,BRE,4.4,3.74
Reguilón ,D,TOT,5.2,3.74
Trincão ,M,WOL,5.6,3.73
Llorente ,D,LEE,4.5,3.7
Dewsbury-Hall ,M,LEI,4.4,3.7
Tielemans ,M,LEI,6.4,3.67
Vlasic ,M,WHU,5.6,3.66
Davies ,D,TOT,4.4,3.66
Sessegnon ,D,TOT,4.3,3.65
Jensen ,M,BRE,4.9,3.65
Canós ,M,BRE,5.5,3.61
Bentancur ,M,TOT,4.9,3.61
Podence ,M,WOL,5.5,3.61
Chambers ,D,AVL,4.2,3.6
Mbeumo ,M,BRE,5.2,3.59
Koch ,D,LEE,4.3,3.58
Fredericks ,D,WHU,4.4,3.57
Douglas Luiz ,M,AVL,4.4,3.56
Bryan ,M,TOT,5.7,3.56
Doherty ,D,TOT,4.8,3.55
Young ,D,AVL,4.7,3.55
Cash ,D,AVL,5.2,3.55
Dendoncker ,M,WOL,4.7,3.55
Yarmolenko ,M,WHU,5.1,3.54
Romero ,D,TOT,4.8,3.53
Smith Rowe ,M,ARS,5.7,3.53
Hoever ,D,WOL,3.9,3.52
Partey ,M,ARS,5,3.49
Wissa ,M,BRE,5.7,3.49
Marçal ,D,WOL,4.2,3.47
Lanzini ,M,WHU,5.7,3.47
Diop ,D,WHU,4.2,3.46
Choudhury ,M,LEI,4.4,3.46
Bate ,M,LEE,4.5,3.45
Ajer ,D,BRE,4.4,3.43
Roerslev ,D,BRE,4.1,3.41
Henry ,D,BRE,4.5,3.41
Fornals ,M,WHU,6,3.39
Jansson ,D,BRE,4.5,3.37
Neves ,M,WOL,5.3,3.37
Sanson ,M,AVL,5,3.35
Janelt ,M,BRE,4.9,3.34
Nketiah ,F,ARS,5.4,3.34
Chukwuemeka ,M,AVL,4.5,3.32
Rodrigo ,F,LEE,6.2,3.28
Ramsey ,M,AVL,4.8,3.28
Emerson Royal ,D,TOT,4.6,3.27
Winks ,M,TOT,4.4,3.26
Onyeka ,M,BRE,4.9,3.25
Watkins ,F,AVL,7.5,3.21
Phillips ,M,LEE,4.7,3.2
Ghoddos ,M,BRE,5.3,3.18
Moutinho ,M,WOL,4.9,3.17
Albrighton ,M,LEI,5.2,3.15
Maitland-Niles ,M,ARS,5.2,3.13
Coutinho ,M,AVL,7.5,3.12
Mendy ,M,LEI,4.3,3.12
Vardy ,F,LEI,10.3,3.09
Soumaré ,M,LEI,4.8,3.09
Lucas Moura ,M,TOT,6.1,3.08
Baptiste ,M,BRE,4.9,3.07
Summerville ,M,LEE,4.5,3.05
Elneny ,M,ARS,4.4,3.03
Højbjerg ,M,TOT,4.9,3.02
Pérez ,M,LEI,5.7,3.02
Xhaka ,M,ARS,4.8,2.99
McGinn ,M,AVL,5.7,2.97
Iroegbunam ,M,AVL,4.5,2.96
Rice ,M,WHU,5,2.94
Klich ,M,LEE,5.2,2.89
Dallas ,M,LEE,4.9,2.88
Harrison ,M,LEE,5.5,2.87
Forshaw ,M,LEE,4.5,2.82
Gibbs-White ,M,WOL,4.5,2.81
Sambi Lokonga ,M,ARS,4.8,2.76
Roberts ,M,LEE,4.8,2.73
Nakamba ,M,AVL,4.4,2.67
Skipp ,M,TOT,4.4,2.65
